id,text,label
578,"Jabra Ear Gels

These are not the same that come on the earbud, and are not easy to use, or to hear from. I sent mine back!",negative
346,"Love this movie

Great movie but no special features on it. Once I opened that movie I noticed that there is a $10off coupon for the 3D version that is coming out with special features.",positive
89,"A book for those with time on their hands

If this book is so great, then why are there so many people who give it only one or two stars? Should a great book not be able to be enjoyed on some level by everyone? To the best of my knowledge, only erudites and scholars enjoy this book. A good book, but one with a limited audience. Don't read it unless you don't mind wading waste deep through overly long sentences, antiquicated words and flowery prose. Personally I like an author who gets to the point.",negative
680,"Yardbirds

Very informative and fun to listen to for someone of my generation. I had heard bits and pieces of the Yardbirds story, but never the complete picture.",positive
433,"Perfect Family Fun!!!

This is a very funny movie that stars Martin Short as Murray, a bumbling fairy god-mother who can hardly do anything right. His first job is helping Anabel Greening, played by Mara Wilson. Anabel's wish is that her dad is auditioning for a part in a broadway musical, and she wants him to get the part. Unfortunately, Murray accidentally turns her dad into a statue. When Anabel, her brother Charlie, and Murray go to NAFGAa and tell the Queen of the Fairy Godmothers what happened, she tells Anabel that if they don't reverse the spell by midnight, he will remain a statue forever. Before they can do that, they have to get the wands back from the evil Claudia. I highly recommend A SIMPLE WISH!!!",positive
333,"1 was a sin, 2 was an atrocity, 3 lacks a word to describe its awfulness

When I saw a review giving this movie 0 out of 5 (the 3rd time this respected source has ever done so), I should have listened. If 2 had plot holes, 3 has plot chasms. There is no story. A few special effects can not redeem such gaping wounds that make up the rest of the film (plot, charisma, fan service). Michael Bay really needs to stop raping people's childhoods (a la South Park George Lucas style).Go watch the '86 animated film instead and save yourself the excruciating pain that is The Dark Side of the Moon (and I'm not talking Pink Floyd).",negative
602,"This is not a normal Mercedes Lackey book.

When I read a Mercedes Lackey book I expect to care about what happens to *someone* in the book. There was no one here who was 'real' enough to care about. The people all felt like shadows, without true substance (or reasons) to their actions. I couldn't find reasons to cheer for anyone. One problem is there were too many people to follow easily. Since there were so many none of them were drawn richly enough to draw me into their world.",negative
957,"the album grows on me...

I bought Garbage's first album first and I thought the album was great, boasting good tracks like Milk, Queer, Only Happy When it Rains, but the sophomore album was even better. 'Temptation Waits' started out with Manson's menacing voice with simplistic lyrics like, ""I tell you something, I am a wolf but, I like to wear sheep's clothing."" The second track had a rockier edge to it, and then slowed down with 'Medication'. And then it was fun all the way till ""You Look So Fine"" which ended the album with a sombre note, like how Garbage ended its first title with ""Milk.""A great buy, almost perfection - you will just repeat it again and again without losing interest.",positive
224,"""THE ROCKETS RED GLARE"" ???

This over-priced pain in ""the sitting area"" has an always-on, glaring RED light.*Red lights are commonly used to warn of an immediate danger that requires attention NOW.*NO-I don't have a carbon Monoxide problem. The red light also stayed on for a week when I plugged it in to an outside plug.",negative
590,"Hmmmmmmm

I've seen better movies on The All News Channel. Odysseus was played very well, but his part was boring. As well as the rest of the movie. Scylla looks like 1930's cartoons.I drew better stuff in 1st grade.Every single scene looks so fake it isn't even funny. I can probably get more entertainment watching an earthworm. I would not recommend this to anyone young or old. This movie isn't worth a penny in my book!",negative
201,"Long Hot Summer

Sweet Dream Baby by Sterling WatsonOn a sultry summer river, two young people explore small town life in the backwater of Florida . This tapestry of a story mesmerized me with its rich characters and tangled landscapes, its troubled families and brooding mysteries. If you appreciate musical prose and gripping plots, you will relish this haunting book. I can't wait for the sequel so I can learn more about Travis and Delia.",positive
360,"Please Listen to Me...Don't buy this product!

I've had many problems with Sony computer items before, but I thought I'd give this one a try. After being on the phone with Sony (who didn't even know what the emarker was) for over four hours, I still can't the thing to work. There's some problem with the program you download from emarker.com. The program has problems loading the emarker USB drive into your computer. Thus, you can't use it at all. If I were you, I'd wait till they develop this product further and work out all the problems. Sony told me they would pass my problem on to the Research and Development team, who would try to get back to me as soon as they can (I hope this team knows what the product is!)As for me, I plan on returning my emarker today.",negative
394,"Non Computer Geek

STAY AWAY FROM THIS PRINTER, I have had a Hp 1100 and had moderate success with it, after a few months the multiple paper pickup and jam problem kept occuring with no satisfactory fix, I just got this printer and it is even worse, it does not print correctly and multiple jams even after two hours out of the box, the copy was consistantly misaligned. I am sending it back.",negative
334,"Yeah

I mean, this was never the greatest movie ever, but I own the other two so logically i had to have this one. Came quickly, shipped well, no problems...except the film itself...just....bad.",positive
431,"AWFUL

This was the absolute WORST book that I have ever read. It the dullest, most boring thing since I learned algebra. After the first chapter, I already wanted to kill myself. But I gave it another chance. And another, and another, and another. I was continually dissapointecd. DO NOT WASTE YOUR HARD EARNED MONEY ON THIS ABORATION OF A BOOK!",negative
